Description,label,variable,distribution,lower,median,upper,,,
,Relative decrease in water deficit due to measure implementation,irrigation_methods_water_deficit_reduction,tnorm_0_1,0.5,,0.9,,,
,Relative impact of the measure on soil quality,soil_quality_irrigation_methods,norm,0.1,,5,,,
,Relative impact of the measure on water quality,water_quality_irrigation_methods,norm,0.1,,2,,,
,Relative impact of the measure on biodiversity richness,biodiv_richness_irrigation_methods,norm,0.1,,5,,,
3e irrigation scheduling ====,,,,,,,,,
,Relative increase in baseline cost due to measure implementation,cost_irrigation_scheduling,tnorm_0_1,0.001,,0.03,,0.01 - 0.1,Compared to the baseline cost (base_water)
,Relative decrease in water deficit due to measure implementation,irrigation_scheduling_water_deficit_reduction,tnorm_0_1,0.1,,0.5,,,
,Relative impact of the measure on soil quality,soil_quality_irrigation_scheduling,norm,0.1,,2,,,
,Relative impact of the measure on water quality,water_quality_irrigation_scheduling,norm,0.1,,3,,,
,Relative impact of the measure on biodiversity richness,biodiv_richness_irrigation_scheduling,norm,0.1,,2,,,
3f Drainage management =====,,,,,,,,,
,Relative increase in baseline cost due to measure implementation,cost_drainage_mgmt,tnorm_0_1,0.001,,0.02,,0.01 - 0.1,Compared to the baseline cost (base_water)
,Relative reduction in waterlogging due to measure implementation,reduction_waterlog_drainage_mgmt,tnorm_0_1,0.2,,0.8,,,
,Risk of flood events,flood_event_risk,tnorm_0_1,0.02,,0.5,,,
,Yield lost to waterlog in a normal year (%),normal_waterlog_damage,tnorm_0_1,0.05,,0.3,,,
,Relative impact of the measure on soil quality,soil_quality_drainage_mgmt,norm,2,,7,,,
,Relative impact of the measure on water quality,water_quality_drainage_mgmt,norm,0.1,,2,,,
,Relative impact of the measure on biodiversity richness,biodiv_richness_drainage_mgmt,norm,2,,10,,,
,,,,,,,,,
4. Plant nutrient and pest  management ====,,,,,,,,,
,Prior for the normal costs related to chemical use (USD/ha/yr),base_chemical_cost,posnorm,400,,2000,,0.2  - 0.6,Compared to the baseline total production cost (prior_cost)
4a Composting ====,,,,,,,,,
,Relative increase in baseline cost due to measure implementation,cost_composting,tnorm_0_1,0.05,,0.15,,,
,Relative increase in yield due to measure implementation,yield_increase_composting,tnorm_0_1,0.05,,0.55,,,
,Relative reduction in fertilizer use due to measure implementation,fertilizer_reduction_composting,tnorm_0_1,0.1,,0.75,,,
,Relative reduction in fertilizer production due to measure implementation (farm-level responsibility of the CO2 emissions of the production),reduced_fertilizer_production_composting,tnorm_0_1,0.1,,0.75,,,
,Relative reduction in chemical residues (and N20 emissions) due to measure implementation,reduced_chemical_residue_composting,tnorm_0_1,0.05,,0.5,,,
,Relative impact of the measure on soil quality,soil_quality_composting,norm,1,,10,,,
,Relative impact of the measure on water quality,water_quality_composting,norm,1,,7,,,
,Relative impact of the measure on biodiversity richness,biodiv_richness_composting,norm,5,,20,,,
4b Nutrient management ====,,,,,,,,,
,Relative increase in baseline cost due to measure implementation,cost_nutrient_mgmt,tnorm_0_1,0.05,,0.1,,,
,Relative increase in yield due to measure implementation,yield_increase_nutrient_mgmt,tnorm_0_1,0.01,,0.4,,,
,Relative reduction in fertilizer use due to measure implementation,fertilizer_reduction_nutrient_mgmt,tnorm_0_1,0.01,,0.25,,,
,Risk of pest and disease outbreak (%),pest_outbreak_risk,tnorm_0_1,0.1,,0.3,,,
,Yield lost to pests and disease in a normal year (%),normal_damage_pests,tnorm_0_1,0.1,,0.4,,,
,Relative reduction in pest and disease damage due to measure implementation,reduction_damage_pest_nutrient_mgmt,tnorm_0_1,0.1,,0.6,,,
,Relative reduction in chemical residues (and N20 emissions) due to measure implementation,reduced_chemical_residue_nutrient_mgmt,tnorm_0_1,0.1,,0.6,,,
,Relative reduction in fertilizer production due to measure implementation (farm-level responsibility of the CO2 emissions of the production),reduced_fertilizer_production_nutrient_mgmt,tnorm_0_1,0.01,,0.25,,,
,Relative impact of the measure on soil quality,soil_quality_nutrient_mgmt,norm,1,,5,,,
,Relative impact of the measure on water quality,water_quality_nutrient_mgmt,norm,1,,7,,,
,Relative impact of the measure on biodiversity richness,biodiv_richness_nutrient_mgmt,norm,1,,15,,,
4c Integrated Pest Management (IPM) ====,,,,,,,,,
,Relative increase in baseline cost due to measure implementation,cost_ipm_practice,tnorm_0_1,0.001,,0.05,,,
,Relative reduction in pesticide use due to measure implementation,pesticide_reduction_ipm_practice,tnorm_0_1,0.05,,0.8,,,
,Relative reduction in pest and disease outbreak damage due to measure implementation,reduction_damage_ipm_practice,tnorm_0_1,0.25,,0.75,,,
,Relative reduction in pesticide production due to measure implementation (farm-level responsibility of the CO2 emissions of the production),reduced_pesticide_production_ipm_practice,tnorm_0_1,0.1,,0.75,,,
,Relative impact of the measure on soil quality,soil_quality_ipm_practice,norm,0,,3,,,
,Relative impact of the measure on water quality,water_quality_ipm_practice,norm,2,,9,,,
,Relative impact of the measure on biodiversity richness,biodiv_richness_ipm_practice,norm,1,,15,,,
4d Reincorporate crop residues ====,,,,,,,,,
,Relative increase in yield due to measure implementation,yield_reincorporation,tnorm_0_1,0.03,,0.1,,,
,Relative increase in baseline cost due to measure implementation,cost_reincorporation,tnorm_0_1,0.001,,0.02,,,
,Relative reduction in herbicide use due to measure implementation,herbicide_reduction_reincorporation,tnorm_0_1,0.1,,0.5,,,
,Relative reduction in fertilizer use due to measure implementation,fertilizer_reduction_reincorporation,tnorm_0_1,0.01,,0.25,,,
,Relative reduction in herbicide production due to measure implementation (farm-level responsibility of the CO2 emissions of the production),reduced_herbicide_production_reincorporation,tnorm_0_1,0.05,,0.3,,,
,Relative impact of the measure on soil quality,soil_quality_reincorporation,norm,1,,8,,,
,Relative impact of the measure on water quality,water_quality_reincorporation,norm,1,,5,,,
,Relative impact of the measure on biodiversity richness,biodiv_richness_reincorporation,norm,1,,5,,,
4e Cover crops ====,,,,,,,,,
,Relative reduction in herbicide use due to measure implementation,herbicide_reduction_cover_crop,tnorm_0_1,0.3,,0.9,,,
,Relative reduction in yield due to measure implementation,yield_reduction_cover_crop,tnorm_0_1,0.001,,0.05,,,
,Relative increase in baseline cost due to measure implementation,cost_cover_crop,tnorm_0_1,0.001,,0.05,,,
,Relative reduction in herbicide production due to measure implementation (farm-level responsibility of the CO2 emissions of the production),reduced_herbicide_production_cover_crop,tnorm_0_1,0.3,,0.9,,,
,Risk of cover crop competion with banana for resources (%),competition_risk,tnorm_0_1,0.001,,0.01,,,
,Yield lost to competition for resources with other plants in a normal year (%),normal_competition_damage,tnorm_0_1,0.001,,0.01,,,
,Yield lost to crop competition due to measure implementation,increased_damage_by_competition,tnorm_0_1,0.001,,0.01,,,
,Relative impact of the measure on soil quality,soil_quality_cover_crop,norm,1,,5,,,
,Relative impact of the measure on water quality,water_quality_cover_crop,norm,1,,10,,,
,Relative impact of the measure on biodiversity richness,biodiv_richness_cover_crop,norm,1,,10,,,
,,,,,,,,,
5. Waste management ====,,,,,,,,,
,Prior for the normal costs related to plastics and recycling (USD/yr),base_plastic_cost,posnorm,5,,50,,0.001 - 0.05,Compared to the baseline total production cost (prior_cost)
5a Recycling plastic ====,,,,,,,,,
,Relative increase in baseline cost due to measure implementation,recycling_cost,tnorm_0_1,0.01,,0.1,,,
,Relative reduction in plastic production due to measure implementation (farm-level responsibility of the CO2 emissions of the production),reduced_plastic_production_recycling,tnorm_0_1,0.3,,0.9,,,
,Relative impact of the measure on biodiversity richness,biodiv_richness_recycling,posnorm,5,,50,,,
5b Waste disposal plan ====,,,,,,,,,
,Relative increase in baseline cost due to measure implementation,waste_plan_cost,tnorm_0_1,0.001,,0.005,,,
,Relative impact of the measure on biodiversity richness,biodiv_richness_waste_plan,posnorm,3,,45,,,
5c Plastic reduction ====,,,,,,,,,
,Relative increase in baseline cost due to measure implementation,costs_plastic_wrapping_time,tnorm_0_1,0.05,,0.5,,,
,Relative decrease in baseline cost due to measure implementation (%),savings_reduced_plastic,tnorm_0_1,0.01,,0.05,,,
,Relative reduction in plastic production due to measure implementation (farm-level responsibility of the CO2 emissions of the production),reduced_plastic_production_replacement,tnorm_0_1,0.05,,0.25,,,
,Relative impact of the measure on biodiversity richness,biodiv_richness_reduced_plastic,posnorm,3,,45,,,
5d Plastic reuse ====,,,,,,,,,
,Relative increase in baseline cost due to measure implementation,costs_plastic_reuse,tnorm_0_1,0.01,,0.05,,,
,Relative decrease in baseline cost due to measure implementation (%),savings_plastic_reuse,tnorm_0_1,0.01,,0.05,,,
,Relative reduction in plastic production due to measure implementation (farm-level responsibility of the CO2 emissions of the production),reduced_plastic_production_plastic_reuse,tnorm_0_1,0.05,,0.25,,,
,Relative impact of the measure on biodiversity richness,biodiv_richness_reuse_plastic,posnorm,3,,45,,,
